step,loss,ppl,gate_rate
0,10.9733,58295.65,0.0000
20,7.6365,2072.58,0.0000
40,7.4981,1804.53,0.0000
60,7.4641,1744.37,0.0000
80,7.4208,1670.43,0.0000
100,7.4358,1695.64,0.0000
120,7.3816,1606.08,0.0000
140,7.4956,1800.08,0.0000
160,7.4423,1706.70,0.0000
180,7.4311,1687.64,0.0000
200,7.4673,1749.86,0.0000
220,7.4953,1799.52,0.0000
240,7.4197,1668.61,0.0000
260,7.4444,1710.22,0.0000
280,7.4582,1734.09,0.0000
300,7.4033,1641.37,0.0000
320,7.3809,1605.01,0.0000
340,7.3127,1499.25,0.0000
360,7.2474,1404.40,0.0000
380,7.2915,1467.71,0.0000
400,7.2669,1432.09,0.0000
420,7.2424,1397.47,0.0000
440,7.2061,1347.59,0.0000
460,7.2271,1376.22,0.0000
480,7.1134,1228.37,0.0000
500,7.0460,1148.25,0.0000
520,7.0117,1109.51,0.0000
540,7.0818,1190.10,0.0000
560,6.9661,1060.11,0.0000
580,6.9562,1049.68,0.0000
600,6.9305,1023.03,0.0000
620,6.9166,1008.91,0.0000
640,6.9217,1014.02,0.0000
660,6.9841,1079.34,0.0000
680,6.8700,962.95,0.0000
700,6.8850,977.47,0.0000
720,6.9607,1054.33,0.0000
740,6.8768,969.52,0.0000
760,6.9329,1025.42,0.0000
780,6.8898,982.22,0.0000
800,6.9554,1048.81,0.0000
820,6.8821,974.64,0.0000
840,6.7638,865.93,0.0000
860,6.8322,927.22,0.0000
880,6.6810,797.08,0.0000
900,6.8186,914.72,0.0000
920,6.8069,904.07,0.0000
940,6.7584,861.24,0.0000
960,6.7831,882.84,0.0000
980,6.7670,868.66,0.0000
1000,6.6724,790.30,0.0000
1020,6.7779,878.18,0.0000
1040,6.6729,790.69,0.0000
1060,6.6891,803.57,0.0000
1080,6.7732,874.14,0.0000
1100,6.6830,798.71,0.0000
1120,6.7116,821.87,0.0000
1140,6.5832,722.83,0.0000
1160,6.6263,754.70,0.0000
1180,6.6336,760.18,0.0000
1200,6.6706,788.90,0.0000
1220,6.5039,667.75,0.0000
1240,6.5535,701.68,0.0000
1260,6.5580,704.86,0.0000
1280,6.6084,741.31,0.0000
1300,6.5714,714.39,0.0000
1320,6.5772,718.53,0.0000
1340,6.5737,716.04,0.0000
1360,6.4835,654.25,0.0000
1380,6.5047,668.30,0.0000
1400,6.6180,748.42,0.0000
1420,6.5469,697.07,0.0000
1440,6.4954,662.10,0.0000
1460,6.4726,647.19,0.0000
1480,6.4798,651.83,0.0000
1500,6.5646,709.54,0.0000
1520,6.4666,643.26,0.0000
1540,6.4050,604.87,0.0000
1560,6.5184,677.52,0.0000
1580,6.4859,655.83,0.0000
1600,6.3827,591.52,0.0000
1620,6.4470,630.78,0.0000
1640,6.2409,513.34,0.0000
1660,6.3429,568.43,0.0000
1680,6.3609,578.77,0.0000
1700,6.3050,547.32,0.0000
1720,6.3371,565.15,0.0000
1740,6.2865,537.29,0.0000
1760,6.3236,557.57,0.0000
1780,6.4083,606.84,0.0000
1800,6.2870,537.55,0.0000
1820,6.2643,525.47,0.0000
1840,6.3964,599.68,0.0000
1860,6.2034,494.42,0.0000
1880,6.2799,533.71,0.0000
1900,6.1853,485.54,0.0000
1920,6.2358,510.73,0.0000
1940,6.2702,528.58,0.0000
1960,6.1485,468.00,0.0000
1980,6.2297,507.59,0.0000
2000,6.1799,482.93,0.0000
2020,6.1953,490.44,0.0000
2040,6.2647,525.67,0.0000
2060,6.2543,520.23,0.0000
2080,6.1886,487.14,0.0000
2100,6.1604,473.61,0.0000
2120,6.1520,469.65,0.0000
2140,6.0465,422.63,0.0000
2160,6.2268,506.12,0.0000
2180,6.2597,523.05,0.0000
2200,6.2087,497.07,0.0000
2220,6.0881,440.56,0.0000
2240,6.1047,447.96,0.0000
2260,6.1915,488.59,0.0000
2280,6.1581,472.53,0.0000
2300,6.2114,498.39,0.0000
2320,6.1053,448.23,0.0000
2340,6.0043,405.18,0.0000
2360,6.0579,427.48,0.0000
2380,6.1956,490.60,0.0000
2400,5.8370,342.75,0.0000
2420,5.9933,400.74,0.0000
2440,6.0428,421.07,0.0000
2460,6.1024,446.91,0.0000
2480,5.9586,387.06,0.0000
2500,6.0862,439.74,0.0000
2520,6.1125,451.48,0.0000
2540,6.0321,416.60,0.0000
2560,6.0977,444.85,0.0000
2580,6.0070,406.26,0.0000
2600,6.0253,413.78,0.0000
2620,6.1544,470.79,0.0000
2640,5.9729,392.62,0.0000
2660,6.1708,478.58,0.0000
2680,5.9253,374.38,0.0000
2700,5.8216,337.51,0.0000
2720,6.0412,420.40,0.0000
2740,5.8865,360.14,0.0000
2760,5.9858,397.73,0.0000
2780,5.9558,385.97,0.0000
2800,6.0651,430.58,0.0000
2820,5.9480,382.97,0.0000
2840,6.0944,443.38,0.0000
2860,5.8351,342.08,0.0000
2880,6.0593,428.09,0.0000
2900,5.9796,395.29,0.0000
2920,6.0614,428.99,0.0000
2940,5.9841,397.06,0.0000
2960,6.0019,404.18,0.0000
2980,5.9577,386.70,0.0000
3000,5.9271,375.07,0.0000
3020,5.8891,361.10,0.0000
3040,5.8729,355.28,0.0000
3060,5.7422,311.73,0.0000
3080,5.8858,359.89,0.0000
3100,5.9219,373.10,0.0000
3120,5.9111,369.12,0.0000
3140,5.7988,329.90,0.0000
3160,5.7668,319.51,0.0000
3180,5.9013,365.51,0.0000
3200,5.8032,331.37,0.0000
3220,5.9382,379.25,0.0000
3240,5.8559,349.30,0.0000
3260,5.8809,358.13,0.0000
3280,5.9536,385.14,0.0000
3300,5.8049,331.94,0.0000
3320,5.9143,370.31,0.0000
3340,5.8482,346.62,0.0000
3360,5.8505,347.42,0.0000
3380,5.8308,340.64,0.0000
3400,5.9694,391.27,0.0000
3420,6.0588,427.86,0.0000
3440,5.9115,369.27,0.0000
3460,6.0231,412.86,0.0000
3480,5.8979,364.26,0.0000
3500,5.8653,352.59,0.0000
3520,5.7654,319.06,0.0000
3540,5.8784,357.22,0.0000
3560,5.5841,266.16,0.0000
3580,5.9560,386.06,0.0000
3600,5.6686,289.62,0.0000
3620,5.6968,297.93,0.0000
3640,5.6722,290.66,0.0000
3660,5.7642,318.69,0.0000
3680,5.7726,321.36,0.0000
3700,5.6770,292.08,0.0000
3720,5.8126,334.48,0.0000
3740,5.8178,336.23,0.0000
3760,5.8991,364.70,0.0000
3780,5.8255,338.82,0.0000
3800,5.6753,291.59,0.0000
3820,5.7491,313.92,0.0000
3840,5.6336,279.65,0.0000
3860,5.7133,302.86,0.0000
3880,5.7248,306.37,0.0000
3900,5.7865,325.88,0.0000
3920,5.8177,336.19,0.0000
3940,5.7776,322.99,0.0000
3960,5.6766,291.96,0.0000
3980,5.8905,361.58,0.0000
