model,step,loss,accuracy,gate_rate
tgn,0,5.080338954925537,0.0,0.5004997849464417
tgn,50,4.107552528381348,0.03125,0.45747822523117065
tgn,100,2.601961135864258,0.46875,0.06416214257478714
tgn,150,0.6153931021690369,0.84375,0.05420314148068428
tgn,200,0.010306923650205135,1.0,0.04793127626180649
tgn,250,0.028297943994402885,1.0,0.04814732074737549
tgn,300,0.006852439139038324,1.0,0.053519606590270996
tgn,350,0.007605988532304764,1.0,0.0503106489777565
tgn,400,0.002187037607654929,1.0,0.04317599534988403
tgn,450,0.0019282869761809707,1.0,0.04199730604887009
tgn,500,0.007294974289834499,1.0,0.04732005298137665
tgn,550,0.01613696850836277,1.0,0.04524950683116913
tgn,600,0.0023436315823346376,1.0,0.04622644931077957
tgn,650,0.0014876365894451737,1.0,0.04408092051744461
tgn,700,0.0015435003442689776,1.0,0.04319939762353897
tgn,750,0.0013499173801392317,1.0,0.04052127152681351
tgn,800,0.0013857048470526934,1.0,0.040580205619335175
tgn,850,0.0012185098603367805,1.0,0.03981921076774597
tgn,900,0.0011557589750736952,1.0,0.04044341668486595
tgn,950,0.0009758233209140599,1.0,0.04061521962285042
tgn,1000,7.872439861297607,0.03125,0.04893093556165695
tgn,1050,2.8708531856536865,0.28125,0.5471063852310181
tgn,1100,1.6888999938964844,0.59375,0.5344343781471252
tgn,1150,1.4423128366470337,0.53125,0.5263659954071045
tgn,1200,1.8716439008712769,0.40625,0.5188140869140625
tgn,1250,1.4999011754989624,0.4375,0.5133843421936035
tgn,1300,2.090998411178589,0.28125,0.5099179744720459
tgn,1350,1.4496538639068604,0.59375,0.5072409510612488
tgn,1400,1.5526230335235596,0.46875,0.5025556087493896
tgn,1450,1.4540321826934814,0.46875,0.06613200157880783
tgn,1500,1.055771827697754,0.5,0.03958407789468765
tgn,1550,1.0898696184158325,0.5,0.03974826633930206
tgn,1600,1.0096540451049805,0.53125,0.03961804881691933
tgn,1650,1.2096761465072632,0.5625,0.036315761506557465
tgn,1700,0.9906266927719116,0.65625,0.040368691086769104
tgn,1750,0.6100916266441345,0.78125,0.040497906506061554
tgn,1800,0.6647729277610779,0.8125,0.04014985263347626
tgn,1850,0.29683247208595276,0.96875,0.4670659005641937
tgn,1900,0.11597774922847748,0.96875,0.040866442024707794
tgn,1950,0.07807864993810654,1.0,0.03762238472700119
tgn,2000,0.19414342939853668,0.90625,0.03745650500059128
tgn,2050,0.03244980424642563,1.0,0.037915900349617004
tgn,2100,0.012244459241628647,1.0,0.03681723773479462
tgn,2150,0.01753576286137104,1.0,0.03635764867067337
tgn,2200,0.030647721141576767,1.0,0.035768501460552216
tgn,2250,0.012931440025568008,1.0,0.033891819417476654
tgn,2300,0.020361876115202904,1.0,0.03226250410079956
tgn,2350,0.007644507568329573,1.0,0.031942859292030334
tgn,2400,0.005056849215179682,1.0,0.03183355554938316
tgn,2450,0.1684228777885437,0.96875,0.03036830574274063
tgn,2500,0.15117260813713074,0.9375,0.030252382159233093
tgn,2550,0.00370959285646677,1.0,0.029444728046655655
tgn,2600,0.0049378699623048306,1.0,0.029820363968610764
tgn,2650,0.0025909214746207,1.0,0.02903909981250763
tgn,2700,0.0027350562158972025,1.0,0.028321214020252228
tgn,2750,0.0025471735280007124,1.0,0.033593855798244476
tgn,2800,0.004971745889633894,1.0,0.031938981264829636
tgn,2850,0.00729341059923172,1.0,0.03059883788228035
tgn,2900,0.0028707683086395264,1.0,0.030158337205648422
tgn,2950,0.019422242417931557,1.0,0.029851768165826797
tgn,3000,4.329925537109375,0.0,0.025682244449853897
tgn,3050,0.4265934228897095,0.9375,0.041548438370227814
tgn,3100,0.6694991588592529,0.84375,0.029579639434814453
tgn,3150,0.09328301250934601,0.96875,0.027299538254737854
tgn,3200,0.057706069201231,1.0,0.02785606123507023
tgn,3250,0.13330435752868652,0.96875,0.030285704880952835
tgn,3300,0.03324485570192337,1.0,0.02839512936770916
tgn,3350,0.02309408411383629,1.0,0.025854775682091713
tgn,3400,0.0641036108136177,0.96875,0.02494276687502861
tgn,3450,0.0433456115424633,1.0,0.025482822209596634
tgn,3500,0.004089454188942909,1.0,0.03304564207792282
tgn,3550,0.020390143617987633,1.0,0.027151281014084816
tgn,3600,0.028786804527044296,1.0,0.026574760675430298
tgn,3650,0.09617969393730164,0.96875,0.027332715690135956
tgn,3700,0.07466383278369904,0.96875,0.026379546150565147
tgn,3750,0.08398455381393433,0.96875,0.025308091193437576
tgn,3800,0.004817706998437643,1.0,0.022629626095294952
tgn,3850,0.006881411653012037,1.0,0.022234834730625153
tgn,3900,0.12638817727565765,0.96875,0.03047291561961174
tgn,3950,0.006647569593042135,1.0,0.026102935895323753
tgn,4000,0.12072156369686127,0.96875,0.02480963058769703
tgn,4050,0.005783089902251959,1.0,0.024540528655052185
tgn,4100,0.002857137704268098,1.0,0.029720088467001915
tgn,4150,0.013980737887322903,1.0,0.026854218915104866
tgn,4200,0.0017448797589167953,1.0,0.026544107124209404
tgn,4250,0.04339703917503357,0.96875,0.02480849251151085
tgn,4300,0.002947400789707899,1.0,0.023635130375623703
tgn,4350,0.004393714014440775,1.0,0.023191556334495544
tgn,4400,0.010758004151284695,1.0,0.022742729634046555
tgn,4450,0.0011125118471682072,1.0,0.022629495710134506
tgn,4500,0.002999073825776577,1.0,0.0225379541516304
tgn,4550,0.011555436067283154,1.0,0.022913314402103424
tgn,4600,0.004453349392861128,1.0,0.02243047207593918
tgn,4650,0.016148148104548454,1.0,0.02142871357500553
tgn,4700,0.007529643829911947,1.0,0.026781117543578148
tgn,4750,0.0061742695979774,1.0,0.024439942091703415
tgn,4800,0.0007049792329780757,1.0,0.023633217439055443
tgn,4850,0.005439947359263897,1.0,0.02283472567796707
tgn,4900,0.17777571082115173,0.96875,0.025324001908302307
tgn,4950,0.002841545268893242,1.0,0.03154820576310158
